VERSION -1073739260 0 0 0
FOCUS_CASE_BEFORE kind/state/capture/clicks 6 12 0 0
ENTER kind/msg/state/clicks 6 8 12 0
ENTER kind/msg/state/clicks 6 243 12 0
LEAVE kind/msg/state/clicks 6 243 8 0
CLICK kind/state/capture/count 6 9 0 1
LEAVE kind/msg/state/clicks 6 8 1 1
FOCUS_CASE_AFTER kind/state/capture/clicks 6 1 0 1
DLGC kind/before/focused/style 7 256 256 7
SPACE_DOWN kind/state/capture/clicks 7 44 1 0
SPACE_UP kind/state/capture/clicks 7 8 0 1
HIGHLIGHT kind/state/capture/clicks 7 12 0 0
MOUSE_DOWN kind/state/capture/clicks 7 108 1 0
MOUSE_OUT kind/state/capture/clicks 7 104 1 0
MOUSE_BACK kind/state/capture/clicks 7 108 1 0
CAPTURE_LOST kind/state/capture/clicks 7 8 0 0
ENTER kind/msg/state/clicks 7 256 8 0
ENTER kind/msg/state/clicks 7 243 40 0
LEAVE kind/msg/state/clicks 7 243 44 0
LEAVE kind/msg/state/clicks 7 256 44 0
SECOND_SPACE_DOWN kind/state/capture/clicks 7 44 1 0
ENTER kind/msg/state/clicks 7 8 44 0
ENTER kind/msg/state/clicks 7 243 44 0
LEAVE kind/msg/state/clicks 7 243 40 0
ENTER kind/msg/state/clicks 7 533 8 0
LEAVE kind/msg/state/clicks 7 533 8 0
CLICK kind/state/capture/count 7 8 0 1
LEAVE kind/msg/state/clicks 7 8 0 1
FOCUS_LOST kind/state/capture/clicks 7 0 0 1
FOCUS_CASE kind/mode 7 0 0 0
FOCUS_CASE_BEFORE kind/state/capture/clicks 7 108 1 0
ENTER kind/msg/state/clicks 7 8 108 0
ENTER kind/msg/state/clicks 7 243 108 0
LEAVE kind/msg/state/clicks 7 243 104 0
ENTER kind/msg/state/clicks 7 533 8 0
LEAVE kind/msg/state/clicks 7 533 8 0
LEAVE kind/msg/state/clicks 7 8 0 0
FOCUS_CASE_AFTER kind/state/capture/clicks 7 0 0 0
FOCUS_CASE kind/mode 7 1 0 0
FOCUS_CASE_BEFORE kind/state/capture/clicks 7 104 1 0
ENTER kind/msg/state/clicks 7 8 104 0
ENTER kind/msg/state/clicks 7 243 104 0
LEAVE kind/msg/state/clicks 7 243 104 0
ENTER kind/msg/state/clicks 7 533 8 0
LEAVE kind/msg/state/clicks 7 533 8 0
LEAVE kind/msg/state/clicks 7 8 0 0
FOCUS_CASE_AFTER kind/state/capture/clicks 7 0 0 0
FOCUS_CASE kind/mode 7 2 0 0
FOCUS_CASE_BEFORE kind/state/capture/clicks 7 40 1 0
ENTER kind/msg/state/clicks 7 8 40 0
ENTER kind/msg/state/clicks 7 533 8 0
